Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min,Label
80.0,85132158.0,6.0,7.0,376.0,11595.0,358.0,0.0,62.66666667,5792.0,0.0,1656.428571,933.0480251949865,0.9016860211721641,7094346.5,85000000.0,4.0,85000000.0,17000000.0,85000000.0,4.0,85100000.0,14200000.0,85000000.0,50.0,164.0,232.0,0.070478655,0.082225098,0.0,5792.0,855.5,1758.561508,1.0,0.0,0.0,0.0,0.0,1.0,921.3076923,62.66666667,1656.428571,0.0,235.0,3.0,20.0,10007.0,10007.0,10007.0,85000000.0,85000000.0,85000000.0,DDoS
53.0,48411.0,9.864435405899627,0.4977405835993146,74.0,172.0,37.0,37.0,37.0,86.0,86.0,86.0,5081.489744,82.6258495,16137.0,48407.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,64.0,40.0,41.31292475,41.31292475,37.0,86.0,56.6,26.83840532,0.0,0.0,0.0,0.0,0.0,1.0,70.75,37.0,86.0,0.0,0.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan
80.0,332.0,9.255230299795027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6024.096386,332.0,332.0,332.0,332.0,332.0,332.0,332.0,0.0,0.0,0.0,0.0,64.0,0.0,6024.096386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,251.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan
80.0,48.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125781.32162700669,48.0,48.0,48.0,48.0,48.0,48.0,48.0,0.0,0.0,0.0,0.0,64.0,0.0,41666.66667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,251.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
443.0,4547917.0,5.0,1.0,123.0,46.0,46.0,0.0,24.6,46.0,46.0,46.0,37.15986901,1.31928529,909583.4,4493060.0,52.0,4547917.0,1136979.25,4493060.0,52.0,0.0,0.0,0.0,0.0,160.0,32.0,1.099404409,0.219880882,0.0,46.0,30.71428571,21.68497395,0.0,1.0,0.0,0.0,1.0,0.0,35.83333333,24.6,46.0,363.0,357.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
80.0,617999.0,3.0,4.0,26.0,11601.0,20.0,0.0,8.666666667,8760.0,0.0,2900.25,131478.3017374104,37.32304829854691,102999.8333,584321.0,7.0,33014.0,16507.0,33007.0,7.0,617916.0,205972.0,584321.0,371.0,72.0,92.0,4.854376787,6.472502383,0.0,8760.0,1453.375,3113.952607,0.0,0.0,0.0,1.0,0.0,1.0,1661.0,8.666666667,2900.25,8192.0,229.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
44161.0,3.0,2.0,0.0,31.0,0.0,31.0,0.0,15.5,0.0,0.0,0.0,61919096.07629058,5248475.947253054,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,64.0,0.0,666666.666666667,0.0,0.0,31.0,20.6666666667,17.8978583449,0.0,3.4232083141206346,0.0,0.0,1.0,0.0,31.0,15.5,0.0,68.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
80.0,100119469.0,5.0,7.0,315.0,11595.0,303.0,0.0,63.0,5792.0,0.0,1656.428571,694.7530937018436,0.8312244873562116,9101769.909,100000000.0,1.0,100000000.0,25000000.0,100000000.0,994.0,100000000.0,16700000.0,100000000.0,46.0,144.0,232.0,0.049940337,0.069916471,0.0,5792.0,916.6153846,1716.606368,1.0,0.0,0.0,0.0,0.0,1.0,993.0,63.0,1656.428571,0.0,235.0,2.0,20.0,8846.0,8846.0,8846.0,100000000.0,100000000.0,100000000.0,DDoS
53.0,78443916.0,2.0,2.0,110.0,204.0,56.0,54.0,55.0,132.0,72.0,102.0,4.002859827,0.050991845,26100000.0,78200000.0,105964.0,78300000.0,78300000.0,78300000.0,78300000.0,78300000.0,78300000.0,78300000.0,78300000.0,64.0,52.0,0.025495922,0.025495922,54.0,132.0,74.0,33.22649545,0.0,0.0,0.0,0.0,0.0,1.0,92.5,55.0,102.0,0.0,0.0,1.0,32.0,154369.0,154369.0,154369.0,78200000.0,78200000.0,78200000.0,Benign
53.0,13942875.0,11.504189711133634,1.4930670502454109,212.0,408.0,65.0,41.0,53.0,147.0,57.0,102.0,44.46715616,0.573769757,1991839.286,13900000.0,3.0,13900000.0,4639583.667,13900000.0,3.0,13900000.0,4647562.0,13900000.0,3.0,104.0,104.0,0.286884878,0.286884878,41.0,147.0,73.44444444,42.81095395,0.0,0.0,0.0,0.0,0.0,1.0,82.625,53.0,102.0,0.0,0.0,3.0,20.0,192.0,192.0,192.0,13900000.0,13900000.0,13900000.0,PortScan
